2017 rank,City,State,2017 estimate,2010 Census,Change,2016 land area Sq Mi,2016 land area Sq Km,2016 population density/sq Mi,2016 population/sq Km,Location,Wikipedia Link,City Website
31,Milwaukee,Wisconsin,"595,351","594,833",+0.09%,962,24922,6186,23882,43°03′48″N 87°58′00″W﻿ / ﻿43.0633°N 87.9667°W﻿ / 43.0633; -87.9667﻿ (Milwaukee),https://en.wikipedia.org/wiki/Milwaukee,http://city.milwaukee.gov
32,Albuquerque,New Mexico,"558,545","545,852",+2.33%,1882,48742,2972,11472,35°06′20″N 106°38′51″W﻿ / ﻿35.1056°N 106.6474°W﻿ / 35.1056; -106.6474﻿ (Albuquerque),"https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico",http://www.cabq.gov/
33,Tucson,Arizona,"535,677","520,116",+2.99%,2308,59782,2299,8882,32°09′11″N 110°52′14″W﻿ / ﻿32.1531°N 110.8706°W﻿ / 32.1531; -110.8706﻿ (Tucson),"https://en.wikipedia.org/wiki/Tucson,_Arizona",http://www.tucsonaz.gov
34,Fresno,California,"527,438","494,665",+6.63%,1144,29632,4563,17622,36°47′01″N 119°47′36″W﻿ / ﻿36.7836°N 119.7934°W﻿ / 36.7836; -119.7934﻿ (Fresno),"https://en.wikipedia.org/wiki/Fresno,_California",http://www.fresno.gov
35,Sacramento,California,"501,901","466,488",+7.59%,979,25362,5059,19532,38°34′00″N 121°28′07″W﻿ / ﻿38.5666°N 121.4686°W﻿ / 38.5666; -121.4686﻿ (Sacramento),"https://en.wikipedia.org/wiki/Sacramento,_California",http://cityofsacramento.org
36,Mesa,Arizona,"496,401","439,041",+13.06%,1379,35722,3514,13572,33°24′07″N 111°43′03″W﻿ / ﻿33.4019°N 111.7174°W﻿ / 33.4019; -111.7174﻿ (Mesa),"https://en.wikipedia.org/wiki/Mesa,_Arizona",http://www.mesaaz.gov
37,Kansas City,Missouri,"488,943","459,787",+6.34%,3150,81582,1528,5902,"39°07′30″N 94°33′04″W﻿ / ﻿39.1251°N 94.5510°W﻿ / 39.1251; -94.5510﻿ (Kansas City, MO)","https://en.wikipedia.org/wiki/Kansas_City,_Missouri",http://www.kcmo.gov/
38,Atlanta,Georgia,"486,290","420,003",+15.78%,1335,34582,3539,13662,33°45′46″N 84°25′22″W﻿ / ﻿33.7629°N 84.4227°W﻿ / 33.7629; -84.4227﻿ (Atlanta),https://en.wikipedia.org/wiki/Atlanta,http://atlantaga.gov
39,Long Beach,California,"469,450","462,257",+1.56%,503,13032,9347,36092,33°48′33″N 118°09′19″W﻿ / ﻿33.8092°N 118.1553°W﻿ / 33.8092; -118.1553﻿ (Long Beach),"https://en.wikipedia.org/wiki/Long_Beach,_California",http://www.longbeach.gov
40,Omaha,Nebraska,"466,893","408,958",+14.17%,1332,34502,3356,12962,41°15′52″N 96°02′42″W﻿ / ﻿41.2644°N 96.0451°W﻿ / 41.2644; -96.0451﻿ (Omaha),"https://en.wikipedia.org/wiki/Omaha,_Nebraska",http://www.cityofomaha.org
41,Raleigh,North Carolina,"464,758","403,892",+15.07%,1451,37582,3163,12212,35°49′50″N 78°38′30″W﻿ / ﻿35.8306°N 78.6418°W﻿ / 35.8306; -78.6418﻿ (Raleigh),"https://en.wikipedia.org/wiki/Raleigh,_North_Carolina",http://raleighnc.gov
42,Colorado Springs,Colorado,"464,474","416,427",+11.54%,1956,50662,2378,9182,38°52′02″N 104°45′39″W﻿ / ﻿38.8673°N 104.7607°W﻿ / 38.8673; -104.7607﻿ (Colorado Springs),"https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado",http://coloradosprings.gov
43,Miami,Florida,"463,347","399,457",+15.99%,360,9322,12599,48652,25°46′31″N 80°12′31″W﻿ / ﻿25.7752°N 80.2086°W﻿ / 25.7752; -80.2086﻿ (Miami),https://en.wikipedia.org/wiki/Miami,http://miamigov.com
44,Virginia Beach,Virginia,"450,435","437,994",+2.84%,2447,63382,1850,7102,36°46′48″N 76°01′31″W﻿ / ﻿36.7800°N 76.0252°W﻿ / 36.7800; -76.0252﻿ (Virginia Beach),"https://en.wikipedia.org/wiki/Virginia_Beach,_Virginia",http://www.vbgov.com/
45,Oakland,California,"425,195","390,724",+8.82%,559,14482,7514,29012,37°46′11″N 122°13′33″W﻿ / ﻿37.7698°N 122.2257°W﻿ / 37.7698; -122.2257﻿ (Oakland),"https://en.wikipedia.org/wiki/Oakland,_California",#cite_note-18
46,Minneapolis,Minnesota,"422,331","382,578",+10.39%,540,13992,7660,29602,44°57′48″N 93°16′06″W﻿ / ﻿44.9633°N 93.2683°W﻿ / 44.9633; -93.2683﻿ (Minneapolis),https://en.wikipedia.org/wiki/Minneapolis,http://www.minneapolismn.gov
47,Tulsa,Oklahoma,"401,800","391,906",+2.52%,1968,50972,2048,7912,36°07′40″N 95°54′08″W﻿ / ﻿36.1279°N 95.9023°W﻿ / 36.1279; -95.9023﻿ (Tulsa),"https://en.wikipedia.org/wiki/Tulsa,_Oklahoma",http://www.cityoftulsa.org/
48,Arlington,Texas,"396,394","365,438",+8.47%,958,24812,4100,16002,32°42′03″N 97°07′29″W﻿ / ﻿32.7007°N 97.1247°W﻿ / 32.7007; -97.1247﻿ (Arlington),"https://en.wikipedia.org/wiki/Arlington,_Texas",http://www.ArlingtonTX.gov
49,New Orleans,Louisiana,"393,292","343,829",+14.39%,1694,43872,2311,8922,30°03′12″N 89°56′04″W﻿ / ﻿30.0534°N 89.9345°W﻿ / 30.0534; -89.9345﻿ (New Orleans),https://en.wikipedia.org/wiki/New_Orleans,http://www.nola.gov
50,Wichita,Kansas,"390,591","382,368",+2.15%,1604,41542,2431,9392,37°41′27″N 97°20′45″W﻿ / ﻿37.6907°N 97.3459°W﻿ / 37.6907; -97.3459﻿ (Wichita),"https://en.wikipedia.org/wiki/Wichita,_Kansas",http://www.wichita.gov/
51,Cleveland,Ohio,"385,525","396,815",−2.85%,777,20122,4965,19172,41°28′43″N 81°40′46″W﻿ / ﻿41.4785°N 81.6794°W﻿ / 41.4785; -81.6794﻿ (Cleveland),https://en.wikipedia.org/wiki/Cleveland,http://www.cleveland-oh.gov
52,Tampa,Florida,"385,430","335,709",+14.81%,1134,29372,3326,12842,27°58′12″N 82°28′47″W﻿ / ﻿27.9701°N 82.4797°W﻿ / 27.9701; -82.4797﻿ (Tampa),"https://en.wikipedia.org/wiki/Tampa,_Florida",#cite_note-10
53,Bakersfield,California,"380,874","347,483",+9.61%,1488,38542,2529,9762,35°19′16″N 119°01′06″W﻿ / ﻿35.3212°N 119.0183°W﻿ / 35.3212; -119.0183﻿ (Bakersfield),"https://en.wikipedia.org/wiki/Bakersfield,_California",http://www.bakersfieldcity.us/
54,Aurora,Colorado,"366,623","325,078",+12.78%,1535,39762,2356,9102,39°41′17″N 104°41′23″W﻿ / ﻿39.6880°N 104.6897°W﻿ / 39.6880; -104.6897﻿ (Aurora),"https://en.wikipedia.org/wiki/Aurora,_Colorado",http://auroragov.org
55,Anaheim,California,"352,497","336,265",+4.83%,500,12952,7021,27112,33°51′20″N 117°45′36″W﻿ / ﻿33.8555°N 117.7601°W﻿ / 33.8555; -117.7601﻿ (Anaheim),"https://en.wikipedia.org/wiki/Anaheim,_California",http://www.anaheim.net
56,Honolulu,Hawaii,"350,395","337,256",+3.90%,605,15672,5815,22452,21°19′27″N 157°50′51″W﻿ / ﻿21.3243°N 157.8476°W﻿ / 21.3243; -157.8476﻿ (Honolulu),https://en.wikipedia.org/wiki/Honolulu,http://www.honolulu.gov/
57,Santa Ana,California,"334,136","324,528",+2.96%,271,7022,12333,47622,33°44′11″N 117°52′59″W﻿ / ﻿33.7363°N 117.8830°W﻿ / 33.7363; -117.8830﻿ (Santa Ana),"https://en.wikipedia.org/wiki/Santa_Ana,_California",http://www.santa-ana.org
58,Riverside,California,"327,728","303,871",+7.85%,812,21032,3999,15442,33°56′17″N 117°23′36″W﻿ / ﻿33.9381°N 117.3932°W﻿ / 33.9381; -117.3932﻿ (Riverside),"https://en.wikipedia.org/wiki/Riverside,_California",http://riversideca.gov
59,Corpus Christi,Texas,"325,605","305,215",+6.68%,1746,45222,1866,7202,27°45′15″N 97°10′24″W﻿ / ﻿27.7543°N 97.1734°W﻿ / 27.7543; -97.1734﻿ (Corpus Christi),"https://en.wikipedia.org/wiki/Corpus_Christi,_Texas",http://www.cctexas.com
60,Lexington,Kentucky,"321,959","295,803",+8.84%,2836,73452,1123,4342,38°02′27″N 84°27′30″W﻿ / ﻿38.0407°N 84.4583°W﻿ / 38.0407; -84.4583﻿ (Lexington),"https://en.wikipedia.org/wiki/Lexington,_Kentucky",http://www.lexingtonky.gov
61,Stockton,California,"310,496","291,707",+6.44%,617,15982,4977,19222,37°58′35″N 121°18′48″W﻿ / ﻿37.9763°N 121.3133°W﻿ / 37.9763; -121.3133﻿ (Stockton),"https://en.wikipedia.org/wiki/Stockton,_California",http://www.stocktongov.com
62,St. Louis,Missouri,"308,626","319,294",−3.34%,620,16062,5023,19392,38°38′09″N 90°14′41″W﻿ / ﻿38.6357°N 90.2446°W﻿ / 38.6357; -90.2446﻿ (St. Louis),https://en.wikipedia.org/wiki/St._Louis,http://stlouis-mo.gov
63,Saint Paul,Minnesota,"306,621","285,068",+7.56%,520,13472,5815,22452,44°56′56″N 93°06′15″W﻿ / ﻿44.9489°N 93.1041°W﻿ / 44.9489; -93.1041﻿ (Saint Paul),"https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota",#cite_note-4
